487,工艺礼品加工设备及配件,15
488,工艺礼品代理,15
490,摆（挂）件饰品,15
491,字画、工艺画,15
1646,箱包、袋、皮具,16
1647,炊具,16
1648,日用化学品,16
1649,生活用纸,16
1650,保温容器,16
1651,办公家具,16
1652,卧室家具,16
1653,庭院、户外休闲家具,16
1654,书房家具,16
1655,居室灯具,16
1656,家用塑料制品,16
1657,家用陶瓷、搪瓷制品,16
1658,家用衡器,16
1659,家居用品库存,16
1660,其它,16
1661,餐具,16
1662,灶具,16
1663,个人护理用具,16
1664,钟表,16
1665,雨具、太阳伞,16
1666,客厅家具,16
1667,儿童家具,16
1668,酒店家具,16
1669,公共场所家具,16
1670,床上用品,16
1671,家用金属制品,16
1672,家用玻璃制品,16
1673,家用橡(乳)胶制品,16
1674,家居用品代理,16
1675,厨具,16
1676,厨房用纺织品,16
1677,清洁用具,16
1678,打火机、烟具,16
1679,婴儿用品,16
1680,餐厅家具,16
1681,门厅家具,16
1682,学校家具,16
1683,家具配件附件,16
1684,日用挂摆饰,16
1685,家用竹、木制品,16
1686,衣架、衣夹,16
1687,缝纫编织,16
1688,家居用品项目合作,16
2918,建筑用涂料,17
2919,地板,17
2920,地毯,17
2921,建筑装饰五金,17
2922,石材石料,17
2923,保温、隔热材料,17
2924,塑料建材,17
2925,建筑玻璃,17
2926,水泥及制品,17
2927,石灰、石膏,17
2928,钢结构,17
2929,厨房设施,17
2930,面盆及配件,17
2931,浴缸及配件,17
2932,管道系统,17
2933,工程承包,17
2934,陶瓷、搪瓷生产加工机械,17
2935,作业保护,17
2936,二手建材设备,17
2937,建筑项目合作,17
2938,建筑陶瓷,17
2939,木质材料,17
2940,窗帘,17
2941,门,17
2942,耐火、防火材料,17
2943,隔音、吸声材料,17
2944,金属建材,17
2945,隔断与吊顶,17
2946,砖、瓦及砌块,17
2947,沥青,17
2948,管材,17
2949,卫浴用五金件,17
2950,座厕及配件,17
2951,台面,17
2952,居室灯具,17
2953,活动房,17
2954,建材生产加工机械,17
2955,匠作工具,17
2956,建材加工,17
2957,其它,17
2958,建筑用粘合剂,17
2959,装饰线板,17
3056,壁纸、壁布,17
3057,窗,17
3058,防水、防潮材料,17
3059,绝缘材料,17
3060,特种建材,17
3061,工地施工材料,17
3062,混凝土及制品,17
3063,砂浆,17
3064,管件,17
3065,淋浴房、淋浴器,17
3066,花洒及配件,17
3067,楼宇设施,17
3068,工程与建筑机械,17
3069,堆垛搬运机械,17
3070,镜台、梳妆台,17
3071,库存建材,17
3072,装饰建材代理,17
681,女上装,18
682,女士内衣,18
683,男上装,18
684,儿童服装,18
685,制服、工作服,18
686,礼服、婚纱,18
687,服装辅料,18
688,童鞋,18
689,制鞋及鞋修理设备,18
690,男包系列,18
691,袜子,18
692,服装展示道具,18
693,二手服装鞋帽加工设备,18
694,服装鞋帽代理,18
695,女裙,18
696,女套装,18
697,男裤,18
698,婴儿服装,18
699,民族服装、舞台装,18
700,特殊用途服装,18
701,女鞋,18
702,鞋材、鞋件,18
703,围巾、丝巾、披肩,18
704,手套,18
705,皮带及配件,18
706,服装加工设备,18
707,库存服饰,18
708,服装鞋帽项目合作,18
709,女裤,18
710,孕妇装,18
711,男士内衣,18
712,中老年服装,18
713,泳装、泳裤,18
714,特殊尺寸服装、鞋帽,18
715,男鞋,18
716,库存鞋及鞋材,18
717,女包系列,18
718,帽子,18
719,领带,18
720,整熨洗涤设备,18
721,服装鞋帽加工,18
722,其它,18
1922,天然纺织原料,19
1923,棉类系列面料,19
1924,丝绸系列面料,19
1925,化纤面料、里料,19
1926,色织、扎染、印花布,19
1927,纺织废料,19
1928,装饰用纺织品,19
1929,毛巾,19
1930,生皮、毛皮（皮革原料）,19
1931,箱包、袋、皮具,19
1932,库存皮革及制品,19
1933,纺织、皮革制品代理,19
1934,化学纤维,19
1935,麻类系列面料,19
1936,混纺、交织类面料,19
1937,坯布,19
1938,其他面料,19
1939,纺织设备和器材,19
1940,厨房用纺织品,19
1941,纺织、编结工艺品,19
1942,皮革助剂,19
1943,皮革加工设备,19
1944,二手纺织、皮革加工设备,19
1945,纺织皮革相关项目合作,19
1946,纱线,19
1947,毛纺系列面料,19
1948,针织面料,19
1949,非织造及工业用布,19
1950,纺织辅料,19
1951,床上用品,19
1952,毯子,19
1953,皮革及人造皮革,19
1954,皮革废料,19
1955,库存纺织品,19
1956,纺织、皮革加工,19
1957,其它,19
3122,CPU,20
3123,硬盘,20
3124,显示器,20
3125,机箱电源,20
3126,台式机,20
3127,移动PC,20
3128,网络工程,20
3129,数码摄像头,20
3130,数码录音笔,20
3131,数码配件,20
3132,视讯会议系统,20
3133,光盘、磁盘,20
3134,扫描仪,20
3135,UPS电源,20
3136,绘图机,20
3137,麦克风、话筒,20
3138,管理软件,20
3139,游戏娱乐软件,20
3140,软件代理,20
3141,电脑产品制造设备,20
3142,电脑产品加工,20
3143,电脑项目合作,20
3144,主板,20
3145,插卡类,20
3146,鼠标、键盘,20
3147,风扇、散热片,20
3148,笔记本电脑,20
3149,工控电脑产品,20
3150,MP3,20
3151,数码相机,20
3152,MD,20
3153,PDA,20
3154,打印机耗材,20
3155,电脑相关用品,20
3156,电脑读卡器,20
3157,电脑游戏周边产品,20
3158,耳机,20
3159,电视接收器,20
3160,行业专用软件,20
3161,因特网服务,20
3162,信息技术项目合作,20
3163,二手电脑产品加工设备,20
3164,电脑维修、安装,20
3165,其它,20
3166,内存,20
3167,驱动器,20
3168,机箱,20
3169,电脑连线、接口线,20
3170,服务器、工作站,20
3171,网络设备、配件,20
3172,便携式碟机,20
3173,数码摄像机,20
3174,掌上影院,20
3175,复读机、学习机,20
3176,移动存储,20
3177,打印机,20
3178,触控产品,20
3179,打字机、刻字机,20
3180,音箱,20
3181,工具软件,20
3182,教育教学软件,20
3183,软件开发,20
3184,二手电脑及用品,20
3185,库存电脑产品,20
3186,电脑产品代理,20
812,学习文具,21
813,收纳用品,21
814,胶粘用品,21
815,会计用品,21
816,证卡、奖品,21
817,教学模型、器材,21
818,学校家具,21
819,教育教学软件,21
820,办公家具,21
821,光学仪器,21
822,相框,21
823,光学计量标准器具,21
824,摄影服务,21
825,库存办公、文教用品,21
826,办公文教用品代理,21
827,簿、本、册,21
828,装订用品,21
829,美术用品,21
830,裁剪用品,21
831,文具配件,21
832,实验室用品,21
833,复读机、学习机,21
834,文教用橡(乳)胶制品,21
835,办公用纸,21
836,摄像器材,21
837,相纸、相册,21
838,光学加工机械,21
839,办公挂摆饰,21
840,二手办公文教用品,21
841,办公、文教项目合作,21
842,笔类,21
843,涂改用品,21
844,绘图文具,21
845,计算器,21
846,书写板、擦,21
847,实验室专用设备,21
848,PDA,21
849,文化办公设备,21
850,打印机耗材,21
851,眼镜及配件,21
852,胶片、胶卷,21
853,电影放映设备,21
854,翻译,21
855,办公文教用品加工,21
856,其它,21
2110,广告,22
2111,不动产,22
2112,公司注册,22
2113,清洗,22
2114,租赁、典当,22
2115,配额、批文,22
2116,物流,22
2117,知识产权,22
2118,维修、安装,22
2119,产权转让,22
2120,保险,22
2121,法律服务,22
2122,商展、会议,22
2123,移民、签证,22
2124,教育、培训,22
2125,翻译,22
2126,软件开发,22
2127,摄影服务,22
2128,策划、设计,22
2129,技术合作,22
2130,旅游服务,22
2131,商标注册,22
2132,中介服务,22
2133,拍卖,22
2134,咨询、调研,22
2135,招聘,22
2136,风险投资,22
